MonthYear,MedianWaitweeks,Percentile92weeks,NoWithin18Weeks,NoWithin18WeeksWithEstimatesForMissingData,Within18WeeksPercentage,NoOver18Weeks,NoOver18WeeksWithEstimatesForMissingData,No52Weeks,No52WeeksWithEstimatesForMissingData,Over52WeekPercentage,No78Weeks,No78WeeksWithEstimatesForMissingData,No104Weeks,No104WeeksWithEstimatesForMissingData,TotalWaitingmil,TotalWaitingmilWithEstimatesForMissingData,MedianWaitweeks1,thPercentileweeks,NoWithin18Weeks1,No52Weeks1,NoOfPathwaysall,NoOfPathwaysallWithEstimatesForMissingData,MedianWaitweeks2,thPercentileweeks1,NoWithin18Weeks2,No52Weeks2,NoOfPathwaysall1,NoOfPathwaysallWithEstimatesForMissingData1,NoOfNewRTTPeriods,NoOfNewRTTPeriodsWithEstimatesForMissingData,VarName34,MedianWaitweeks3,thPercentileweeks2,NoWithin18Weeks3,No52Weeks3,NoOfPathwaysall2
01-Apr-2009,5.72420138825519,21.2234849614716,2167437,2192098,0.89639594928919,250509,264982,31800,33208,0.0131516584737624,NaN,NaN,NaN,NaN,2417946,2457080,7.99237641053197,22.1721125370188,259088,615,287375,288846.428571429,4.16627357092909,14.8886073619632,824755,1564,847747,792791.761904762,NaN,NaN,NaN,7.69862610402355,19.8134850400337,267357,447,287439
01-May-2009,5.74284148034104,20.4884330163731,2194642,2219303,0.89764043615672,250259,264732,31065,32473,0.0127060359499219,NaN,NaN,NaN,NaN,2444901,2484035,8.35271643883631,22.092607003891,257004,632,281676,283073.857142857,4.30404590627469,14.8898512163336,793540,1199,812856,760648.523809524,NaN,NaN,NaN,8.07392741546725,19.6217071791973,263030,485,281378
01-Jun-2009,5.61412796145094,19.7204794965287,2246375,2271036,0.904814574185833,236316,250789,31628,33036,0.0127394025273383,NaN,NaN,NaN,NaN,2482691,2521825,8.40602196003546,21.3803929430634,291475,711,321001,322619.571428571,4.38735330910824,15.0609931878764,936590,1449,959317,898866.238095238,NaN,NaN,NaN,8.04032418786953,19.319206871345,299763,546,320828
01-Jul-2009,5.75685716960378,19.7726216291354,2241908,2266569,0.903424692311226,239658,254131,32563,33971,0.0131219560551684,NaN,NaN,NaN,NaN,2481566,2520700,8.17104735152488,21.6780414312618,293404,810,324780,324780,4.37292464878672,16.1712710140272,928721,1295,951430,879831,NaN,NaN,NaN,7.82529484792055,19.3124767225326,303148,605,324764
01-Aug-2009,6.05151832322001,19.9771994634197,2218857,2243518,0.901993090100648,241092,255565,31608,33016,0.0128490468704839,NaN,NaN,NaN,NaN,2459949,2499083,8.20845426806579,21.8683052792655,253564,610,281442,281442,4.52451317639317,15.5329065665187,785914,1308,804998,742738,NaN,NaN,NaN,7.85538556956791,19.4487012987013,262624,470,281385
01-Sep-2009,5.93037419242403,19.9528213689483,2191974,2216635,0.902532721316659,236718,251191,31756,33164,0.0130753508472873,NaN,NaN,NaN,NaN,2428692,2467826,8.72706043956044,22.5199564011098,285170,755,319766,319766,4.69373664310373,15.5285823582358,913825,1911,937399,868913,NaN,NaN,NaN,8.26952216388649,19.642227536727,297343,457,319467
01-Oct-2009,5.68591431791155,19.6479270315091,2147615,2193339,0.903741436482688,228745,245660,23388,25017,0.00984194313992829,NaN,NaN,NaN,NaN,2376360,2438999,8.57707641196013,22.6897887323944,287229,769,322175,322175,4.27701221204552,15.495068404511,893394,1369,915429,846943,NaN,NaN,NaN,8.14363792241195,19.9700034578147,299077,465,322070
01-Nov-2009,5.7097756624679,19.569880562512,2114966,2137022,0.904769258740361,222609,233974,21619,21667,0.00924847331101676,NaN,NaN,NaN,NaN,2337575,2370996,8.24432918395574,22.5878127369219,283951,614,318166,318166,4.32439767703456,15.3180910543131,887612,1204,908889,843516,NaN,NaN,NaN,7.91809094835565,20.1924467657694,294662,411,318162
01-Dec-2009,6.48745649978451,20.037244111349,2128078,2128078,0.899701350686335,237238,237238,20792,20792,0.00879036881330021,NaN,NaN,NaN,NaN,2365316,2365316,7.99753352859565,22.2078624078624,252617,473,279701,279701,4.16244962773209,14.9273455630456,792428,939,810203,744830,NaN,NaN,NaN,7.70098370503867,19.8413800515907,260308,280,279466
01-Jan-2010,6.54791293309439,20.2622052005644,2075443,2075443,0.896496419099289,239617,239617,20737,20737,0.0089574352284606,NaN,NaN,NaN,NaN,2315060,2315060,9.18920545746388,23.2390267639903,251972,566,285034,285034,4.90438090926503,15.5408440982152,794900,882,813679,751419,NaN,NaN,NaN,8.73077195718438,20.3313336520076,263501,315,284896
